# Theoretical relativistic binding energies.
# A.M.P. Mendez, C.C. Montanari, D.M. Mitnik, Nucl. Instrum. Meth. B 460, 114-118 (2019). DOI: 10.1016/j.nimb.2019.02.002
#
orb   energy
1s    4.80088744E+03
2s    8.17966316E+02
2p-   7.80522690E+02
2p+   6.92730756E+02
3s    1.87095945E+02
3p-   1.70808476E+02
3p+   1.51932634E+02
3d-   1.24288262E+02
3d+   1.20230473E+02
4s    3.75610917E+01
4p-   3.09089731E+01
4p+   2.65627084E+01
4d-   1.56203040E+01
4d+   1.48367855E+01
5s    5.09432516E+00
5p-   3.17165573E+00
5p+   2.55929209E+00
4f-   1.45089290E+00
4f+   1.32008795E+00
6s    4.27260369E-01
5d-   2.49036276E-01
5d+   2.17861321E-01
