# Experimental Total Stopping Power Cross Section
#
# Units: E    -- keV
#        S(E) -- eV/10^15 atom/cm^2
#
E       S(E)      err
516.6   25.8      1.3
567.8	  24.8      1.2
618.8	  23.9      1.2
669.6	  23.2      1.2
720.1	  22.5	1.1
770.5	  21.8	1.1
820.8	  21.3	1.1
871	  20.8	1
921.1	  20.3	1
971.1	  19.9	1
1021	  19.33	0.97
1070.8  19.03	0.95
1120.6  18.73	0.94
1170.3  18.25	0.91
1220    18.08	0.9
1269.6  17.57	0.88
1319.2  17.32	0.87
1368.8  17.15	0.86
1418.3  16.69	0.83
1467.8  16.43	0.82
1517.2  16.13	0.81
1566.7  16.04	0.8
1616    15.77	0.79
1665.4  15.51	0.78
1714.8  15.46	0.77
1764.1  14.93	0.75
1813.4  15.1	0.76
1862.7  14.79	0.74
1912    14.21	0.71
1961.2  14.46	0.72
2010.4  14.34	0.72
2059.6  13.76	0.69
2108.8  13.78	0.69
2158    13.7	0.69
2206.5  13.33	0.67
2256.4  13.27	0.66
2305.5  13.07	0.65
2354.7  12.91	0.65
2403.8  12.61	0.63
